id_barang, nama_barang, harga_beli, harga_jual, stok, nama_supplier
A0001,INDOMIE AYAM GORENG,4000,5000,25,PT INDOFOOD TBK
A0002,GULA 500 GR,6000,7000,30,PT GULA
A0003,INDOMIE GORENG,2500,3000,5,PT INDOFOOD TBK
A0004,MIE SEDAP GORENG,2000,2500,10,PT SEDAPP
A0005,KEJU CHEDDAR ,6000,7000,24,PT CHEDDAR
A0006,INDOMILK 250 ML,5000,6000,8,PT INDOMILK
A0007,AQUA 500 ML,5000,5500,10,PT AQUA
A0008,PERMEN BUBBLEGUM,1500,2000,20,PT BUBBLEGUM
A0009,MINYAK BIMOLI 1L,10000,12000,28,PT BIMOLI
A0010,SABUN NUVO,2000,2500,21,PT NUVO
A0011,SOSIS SONICE,500,1000,25,PT SONICE
A0012,SILVERQUEEN 250 GR,8500,10000,10,PT CHOCO
A0013,GAS LPG 3KG,14000,16000,12,PT GAS
A0014,TEH PUCUK 250 ML,3000,4000,10,PT SINAR SOSRO
A0015,KOPI ABC 200 ML,2500,3000,25,PT SANTOS
A0016,KECAP ABC 300 ML,7000,9000,8,PT SANTOS
A0017,BUBUR SUN 250 ML,500,1500,20,PT SUN IND
A0018,INDOMIE ACEH,2000,4000,0,PT INDOMIE
A0019,MIE SUKSES ,3000,3500,0,PT SUKSESSS